日期,时间,纬度,经度,深度,震级,位置,Year
2016-01-24,18:30:30,59.71,-153.51,120,7.1,美国阿拉斯加半岛,2016
2016-01-22,02:06:58,18.84,-107.01,10,6.7,墨西哥哈利斯科州沿岸远海,2016
2016-01-21,01:13:13,37.68,101.62,10,6.4,青海海北州门源县,2016
2016-01-19,10:13:26,22.83,121.42,27,5.4,台湾台东县海域,2016
2016-01-14,11:25:34,42.04,142.86,50,6.7,日本北海道附近海域,2016
2016-01-14,05:37:35,38.71,73.17,7.2,4.5,塔吉克斯坦,2016
2016-01-14,05:18:14,42.19,84.12,5,5.3,新疆巴音郭楞州轮台县,2016
2016-01-14,04:34:55,32.62,91.67,10,5.3,西藏那曲地区安多县,2016
2016-01-13,04:04:59,36.56,71.13,230,6,兴都库什地区,2016
2016-01-12,01:08:02,44.45,141.25,230,6.5,日本北海道地区,2016
2016-01-12,00:38:05,3.85,126.85,10,6.5,塔劳群岛,2016
2016-01-11,12:52:54,23.41,121.63,11,4.5,台湾台东县海域,2016
2016-01-06,09:30:01,41.3,129.1,0,4.9,朝鲜（疑爆）,2016
2016-01-04,18:27:05,43.6,82.99,10,4.6,新疆伊犁州新源县,2016
2016-01-04,07:05:23,24.81,93.58,60,6.5,印度,2016
2016-01-02,12:22:19,44.81,129.95,580,6.4,黑龙江牡丹江市林口县,2016
2016-01-01,10:00:41,-50.47,139.44,10,6.3,西印度洋,2016
2015-12-28,02:39:00,48.5,84.4,9.4,4.5,哈萨克斯坦,2015
2015-12-26,03:14:47,36.5,71.2,210,6.2,阿富汗,2015
2015-12-21,02:47:34,3.6,117.7,10,6,印尼加里曼丹岛,2015
2015-12-20,03:24:59,-30.6,-71.3,40,6,智利中部,2015
2015-12-19,06:16:52,28.7,81.5,8.5,5.1,尼泊尔,2015
2015-12-18,03:49:54,15.9,-93.3,100,6.6,墨西哥,2015
2015-12-10,03:17:40,38.3,73.1,9.4,4.9,塔吉克斯坦,2015
2015-12-09,20:58:00,-16.7,175.1,10,6.1,斐济群岛地区,2015
2015-12-09,18:21:51,-4.2,129.5,30,6.8,班达海,2015
2015-12-07,23:23:57,38.7,73.3,5.2,4.7,塔吉克斯坦,2015
2015-12-07,21:51:11,39.1,73.2,6.5,4.5,塔吉克斯坦,2015
2015-12-07,19:47:58,38.6,73.2,8.8,4.8,塔吉克斯坦,2015
2015-12-07,18:34:22,38.3,72.9,5.1,4.7,塔吉克斯坦,2015
2015-12-07,18:07:30,38.5,73,8.3,4.5,塔吉克斯坦,2015
2015-12-07,18:04:57,38.8,73.4,7,5.4,塔吉克斯坦,2015
2015-12-07,17:24:52,38.7,73.2,10.2,4.8,塔吉克斯坦,2015
2015-12-07,16:55:45,38.7,73.2,6.9,4.7,塔吉克斯坦,2015
2015-12-07,16:30:59,41.5,74.9,15,5.2,吉尔吉斯斯坦,2015
2015-12-07,16:24:17,38.3,73.2,6,4.6,塔吉克斯坦,2015
2015-12-07,15:50:03,38.2,72.9,30,7.4,塔吉克斯坦,2015
2015-12-06,06:59:37,43.8,85.1,13.1,4.8,新疆维吾尔自治区塔城地区沙湾县,2015
2015-12-05,06:24:54,-47.7,85.1,10,7,东南印度洋海岭,2015
2015-12-03,22:31:13,22.7,121.4,8,4.6,台湾台东县附近海域,2015
2015-11-28,05:00:24,-24.7,-70.3,12,6,智利北部沿岸近海,2015
2015-11-28,02:10:38,39.3,117.9,5,3.4,河北省唐山市丰南区,2015
2015-11-26,13:45:18,-9.2,-71.3,610,6.5,巴西,2015
2015-11-25,06:50:54,-10,-71,610,7.7,秘鲁,2015
2015-11-25,06:45:37,-10.6,-70.9,600,7.5,秘鲁,2015
2015-11-23,05:02:42,38,100.4,10,5.2,青海省海北藏族自治州祁连县,2015
2015-11-21,17:06:12,-7.2,130,90,6,印尼班达海,2015
2015-11-20,12:45:46,40.4,73.1,6.2,4.5,吉尔吉斯斯坦,2015
2015-11-19,02:31:02,-9,158.4,10,6.8,所罗门群岛,2015
2015-11-18,01:29:33,40.4,73,7,6,吉尔吉斯斯坦,2015
2015-11-17,15:10:09,38.8,20.5,10,6.5,希腊附近海域,2015
2015-11-15,23:21:06,39.8,118.6,13,3,河北省唐山市滦县,2015
2015-11-15,03:20:21,31.4,128.8,10,6,东海海域,2015
2015-11-14,04:51:36,31,128.7,10,7.2,东海海域,2015
2015-11-14,00:55:06,23.3,100.5,5.3,4.6,云南省普洱市景谷傣族彝族自治县,2015
2015-11-11,23:33:19,24.5,122.7,90,5,台湾宜兰县附近海域,2015
2015-11-11,10:46:22,-29.4,-71.9,10,6.6,智利中部沿岸近海,2015
2015-11-11,09:54:37,-29.4,-71.8,10,6.7,智利中部沿岸近海,2015
2015-11-10,00:03:45,51.7,-173,10,6.5,安德烈亚诺夫群岛,2015
2015-11-09,00:47:01,6.8,94.5,10,6.5,尼科巴群岛附近海域,2015
2015-11-07,15:31:42,-30.9,-71.4,30,6.7,智利,2015
2015-11-04,11:44:14,-8.3,124.9,20,6.4,帝汶岛,2015
2015-11-03,08:06:30,25,122,7,4.7,台湾宜兰县附近海域,2015
2015-11-02,05:09:41,22.8,121.7,10,5.6,台湾台东县附近海域,2015
2015-10-30,19:26:39,25.1,99.5,10,5.1,云南省保山市昌宁县,2015
2015-10-29,04:12:06,27.6,100.3,8,4.7,云南省迪庆藏族自治州香格里拉市,2015
2015-10-26,17:09:32,36.5,70.8,210,7.8,兴都库什地区,2015
2015-10-21,13:58:20,44.6,124.2,9,4.5,吉林省松原市前郭尔罗斯蒙古族自治县,2015
2015-10-21,05:52:03,-14.8,167.3,130,7.2,瓦努阿图群岛,2015
2015-10-19,15:20:11,24.8,122.4,8,4.8,台湾宜兰县附近海域,2015
2015-10-19,13:42:14,25,121.8,7,4.5,台湾新北市,2015
2015-10-19,10:17:36,24.9,122,7,5.3,台湾宜兰县附近海域,2015
2015-10-14,13:43:08,48.9,156.2,20,6,千岛群岛,2015
2015-10-13,19:49:03,23.6,121.6,8,4.6,台湾花莲县附近海域,2015
2015-10-12,19:14:47,22.5,121.5,8,4.6,台湾台东县附近海域,2015
2015-10-12,18:04:14,34.4,98.2,9,5.2,青海省果洛藏族自治州玛多县,2015
2015-10-06,00:33:25,-30.3,-71.7,30,6,智利中部沿岸近海,2015
2015-09-26,10:51:15,-30.8,-71.3,30,6.4,智利,2015
2015-09-24,23:53:29,-0.6,131.3,30,6.5,印尼伊里安查亚省地区,2015
2015-09-22,15:12:56,-31.4,-71,30,6.1,智利,2015
2015-09-22,01:39:57,-31.7,-71.6,20,6.5,智利中部沿岸近海,2015
2015-09-21,13:39:32,-31.6,-71.7,20,6.1,智利中部沿岸近海,2015
2015-09-19,20:52:20,-32.3,-71.8,10,6.1,智利中部沿岸近海,2015
2015-09-19,13:06:48,-29.7,-72,10,6,智利中部沿岸近海,2015
2015-09-18,17:10:46,-32.4,-72.1,10,6.1,智利中部沿岸近海,2015
2015-09-17,12:10:29,-31.5,-71.7,30,6.6,智利中部沿岸近海,2015
2015-09-17,11:55:10,-31.1,-71.4,40,6.1,智利,2015
2015-09-17,09:41:09,-31.1,-71.4,40,6,智利,2015
2015-09-17,07:18:42,-31.6,-71.4,30,6.8,智利,2015
2015-09-17,06:54:31,-31.6,-71.6,20,8.2,智利中部沿岸近海,2015
2015-09-16,22:03:21,-6.1,151.5,20,6,新不列颠地区,2015
2015-09-16,21:08:57,24.3,121.9,7,5.4,台湾宜兰县附近海域,2015
2015-09-16,19:10:08,35.5,78.5,9.3,4.8,新疆维吾尔自治区和田地区和田县,2015
2015-09-16,15:40:58,1.9,126.5,50,6.2,马鲁古海,2015
